TF,olfactory,forebrain,rest,trigeminal,epibranchial,otic,adenohypophyseal,otic_vesicle,epibranchial_neurulation,trigeminal__neurulation,otic__neurulation,lens
Tal2,0,0,0,1,0,0,1,0,0,0,0,0
Mxd3,0,0,0,0,0,0,0,0,0,0,1,0
Dmrt3,1,1,0,0,0,0,1,0,0,0,0,0
Dmrta1,1,1,0,0,0,0,0,0,0,0,0,0
Dmrta2,1,1,0,0,0,0,1,0,0,0,0,1
Klf11,1,1,0,0,0,0,0,0,0,0,0,1
Klf10,1,1,0,0,0,0,0,1,0,0,0,0
Zfp653,1,1,0,0,0,0,0,1,0,0,1,0
Zfp276,0,0,0,0,0,0,0,1,0,1,0,0
Zfp414,1,1,1,1,1,0,1,1,1,1,1,1
Sp6,1,0,0,1,0,0,0,0,1,0,0,1
Zfp536,0,0,0,0,0,0,0,1,1,1,1,0
Ikzf4,1,1,0,0,0,0,0,0,1,0,0,1
Snapc4,1,1,0,0,0,0,0,1,0,0,0,0
Zfp579,1,1,1,0,0,0,0,1,1,1,1,1
Zfp513,1,1,1,0,1,0,0,1,1,1,1,1
Zfp2,1,1,1,1,1,0,1,1,1,1,1,1
Fezf1,1,1,0,0,0,0,0,0,0,0,0,0
Zfp239,1,1,1,1,1,1,1,1,1,1,0,1
Zfp74,1,1,1,0,0,0,0,1,1,1,1,1
Zfp775,0,0,0,0,0,0,0,1,1,1,0,1
Zbtb24,1,1,1,1,0,0,0,1,1,1,1,1
Zfp768,1,1,1,0,0,0,0,1,1,1,1,1
Zfp319,1,1,0,0,0,0,0,1,1,1,1,1
Zfp672,1,1,1,0,0,0,0,1,1,1,0,1
Zfp37,1,1,1,0,1,0,1,1,1,1,1,1
Zfp354a,0,0,0,0,0,0,0,0,0,0,0,1
Zfp667,1,1,0,0,0,0,0,1,0,0,0,0
Zfp629,1,1,1,0,0,0,1,1,1,1,1,1
Zfp647,1,1,1,0,0,0,0,1,1,1,1,1
Zfp689,1,1,0,0,0,0,0,0,0,0,0,0
Zfp46,1,1,0,0,0,0,0,0,0,0,0,0
Zfp287,1,0,0,0,0,0,0,0,0,0,0,0
Zfp580,1,1,1,0,0,0,0,1,1,1,1,1
Zfpm1,0,0,1,0,0,1,0,1,1,1,1,1
Zfp35,1,1,1,0,0,0,0,1,1,1,1,1
Zfp90,1,1,1,0,1,0,0,1,1,1,1,1
Carf,1,1,0,0,0,0,0,1,1,0,0,1
Zeb2,0,0,1,0,0,0,0,0,1,1,1,1
Lmo2,0,0,0,0,1,0,0,0,0,0,0,0
Mxd1,1,1,0,0,0,0,0,0,1,1,1,1
Mxd4,1,1,1,1,1,0,1,1,1,1,1,1
Pbx4,1,1,1,0,0,0,0,1,1,0,1,1
Thap1,1,1,1,0,0,0,0,1,1,1,1,1
Ncoa1,1,1,1,0,1,0,1,1,1,1,1,1
Zbtb21,1,1,1,0,0,0,0,1,1,1,0,1
Zbtb40,1,1,1,0,0,0,0,1,0,1,1,1
Zgpat,1,1,1,0,1,1,0,1,1,1,1,1
Zfp341,1,1,0,0,0,0,0,1,0,0,0,0
Foxe1,1,1,0,0,0,0,0,0,0,0,0,0
Sp9,0,0,0,0,0,0,0,1,0,0,0,0
Tbx18,0,0,0,0,0,0,0,0,0,0,1,0
